Year    Overall Males   Females White   Wmale   Wfemale Blacks  Bmale   Bfemale
1975	400.39	466.78	365.84	402.12	468.58	369.56	426.23	525.13	356.46
1976	407.40	481.17	367.40	409.69	481.86	373.12	427.38	553.02	340.44
1977	407.74	486.49	363.71	409.26	487.08	367.86	442.62	577.65	352.01
1978	407.31	488.40	362.20	409.79	489.81	367.90	436.45	570.52	344.13
1979	412.50	496.48	365.51	414.06	497.57	369.63	451.54	589.90	358.94
1980	417.98	505.73	368.05	419.44	505.14	373.35	467.25	614.90	366.30
1981	425.25	510.87	377.08	427.66	510.87	383.85	472.76	633.98	362.95
1982	424.45	511.07	376.14	427.73	512.46	383.38	465.34	621.86	359.74
1983	431.15	519.95	380.77	434.39	520.96	387.96	486.99	645.78	382.12
1984	439.94	525.44	392.39	443.57	527.62	399.49	488.12	643.90	386.00
1985	448.73	531.12	403.02	453.32	533.40	411.37	488.42	642.85	387.65
1986	451.28	538.16	402.18	455.82	542.76	408.89	493.74	643.91	396.34
1987	467.94	563.06	413.21	474.79	568.62	423.29	500.93	666.09	393.97
1988	463.73	558.31	409.09	470.16	564.98	417.70	503.69	657.16	404.26
1989	467.59	566.84	408.17	474.96	573.29	418.43	492.30	660.88	384.33
1990	481.74	592.44	415.32	488.66	598.99	424.65	520.61	698.68	407.57
1991	502.82	637.23	418.70	510.16	644.19	428.17	548.80	764.26	412.54
1992	510.31	657.72	414.68	516.52	662.84	423.38	567.60	806.88	412.70
1993	493.13	621.69	408.15	496.74	619.89	416.97	567.49	816.86	403.65
1994	483.10	589.23	413.17	487.05	587.05	422.77	556.79	781.58	408.32
1995	476.36	570.81	414.48	481.55	569.36	425.68	541.04	745.49	404.24
1996	478.58	571.73	417.63	484.16	572.91	427.64	538.98	724.77	415.97
1997	485.82	574.78	427.95	492.88	575.59	440.60	538.33	736.05	409.30
1998	487.30	571.54	433.12	495.84	575.12	446.23	532.62	718.08	413.27
1999	489.61	579.60	429.74	497.52	581.31	442.81	537.27	717.87	418.72
2000	484.74	577.80	421.15	494.89	581.29	436.90	523.65	707.21	400.74
2001	487.12	577.05	425.02	497.95	582.88	440.21	514.65	690.31	395.96
2002	483.64	569.01	424.95	493.30	575.02	437.63	527.90	689.21	419.57
2003	470.10	552.85	413.03	480.06	557.18	427.61	509.87	666.84	404.27
2004	469.29	548.74	414.18	478.74	553.82	426.99	509.35	662.50	407.46
2005	462.56	535.84	411.83	473.07	543.05	425.23	491.52	617.74	406.91
2006	462.14	535.72	410.08	471.25	539.95	423.20	487.43	614.56	400.20
2007	461.08	536.61	407.18	468.47	539.49	418.31	482.04	609.17	394.46
