Age-Adjusted Incidence Rate - All Cancer Sites Combined,,,,,
*2008 *All Races *Male *Quantile *4,,,,,
,,,,,
US National Data,,,,,
State,Rate,Lower CI,Upper CI,Count,Population
US,547,545.8,548.2,"787,650","150,074,226"
,,,,,
US States Data,,,,,
State,Rate,Lower CI,Upper CI,Count,Population
AL,591,580.9,601.3,"13,548","2,264,777"
AK,528.3,497.4,560.4,"1,388","359,651"
AZ,414.3,407.1,421.5,"12,965","3,258,479"
AR,546.5,534.4,558.7,"7,998","1,404,435"
CA,504.8,501.2,508.4,"78,945","18,305,051"
CO,483.6,473.9,493.4,"10,347","2,484,908"
CT,588.5,577,600.2,"10,210","1,708,982"
DE,608.5,585.5,632.1,"2,724","425,510"
DC,554.3,525,584.7,"1,418","278,503"
FL,528.8,524.5,533.3,"56,454","9,063,647"
GA,576.1,568.3,584.1,"22,554","4,767,188"
HI,513,495.9,530.6,"3,493","650,340"
ID,513.3,496.5,530.5,"3,665","767,412"
IL,579.5,573.1,585.8,"33,459","6,323,920"
IN,537.6,529.1,546.1,"16,088","3,147,047"
IA,562.3,550.5,574.4,"8,709","1,477,975"
KS,578.8,565.8,592.1,"7,726","1,389,108"
KY,619.2,608.3,630.3,"12,816","2,100,980"
LA,614.7,603.7,625.8,"12,525","2,163,391"
ME,584.6,567,602.7,"4,337","644,294"
MD,550.8,541.5,560.2,"14,170","2,743,324"
MA,573.3,564.9,581.8,"18,312","3,178,020"
MI,562.8,556.1,569.6,"27,620","4,919,592"
MN,566.8,557.3,576.3,"14,194","2,602,114"
MS,624.4,610.8,638.3,"8,313","1,425,236"
MO,526.2,517.8,534.7,"15,484","2,909,338"
MT,513.8,494.4,533.8,"2,750","484,631"
NE,524.5,509.2,540.2,"4,525","883,728"
NV,519.2,506.2,532.5,"6,354","1,332,616"
NH,591.9,573.2,611.1,"3,986","651,765"
NJ,584.9,577.4,592.4,"24,394","4,243,773"
NM,473.4,459.7,487.4,"4,623","982,203"
NY,585,580,590,"54,322","9,454,851"
NC,575.5,568.2,582.9,"24,862","4,525,690"
ND,550.5,525.4,576.4,"1,851","322,124"
OH,549.6,543.4,555.8,"31,141","5,623,706"
OK,551.5,540.5,562.8,"9,744","1,799,361"
OR,537.4,527,548.1,"10,411","1,874,822"
PA,578.7,572.9,584.6,"38,535","6,115,321"
RI,584.1,563.4,605.5,"3,074","511,028"
SC,547.7,537.8,557.8,"12,178","2,193,103"
SD,493.8,472.6,515.7,"2,084","401,211"
TN,570.3,561.6,579.1,"17,302","3,040,410"
TX,532.8,528.1,537.5,"51,921","12,129,728"
UT,460.3,446.8,474,"4,615","1,371,757"
VT,545,519.8,571.2,"1,853","305,586"
VA,538,530.1,545.9,"19,114","3,831,925"
WA,544.3,535.9,552.8,"16,946","3,276,967"
WV,566.5,551.7,581.7,"5,773","888,885"
WI,514.9,506.4,523.5,"14,435","2,794,985"
WY,520,492.2,548.9,"1,395","270,828"
,,,,,
Notes:,,,,,
Confidence interval (CI): Range of values for a rate that will include the true value of the rate a given percentage of the time. Example: 95CI includes the true value of the rate 95of the time. ,,,,,
Urinary bladder cases include invasive and in situ.,,,,,
ONS:Other Nervous System; NOS: Not Otherwise Specified; IBD: Intrahepatic Bile Duct.,,,,,
