6-Jul-06,BSO,UNKN,,0,,2006
14-Jun-10,GOV,DISC,,0,,2010
26-Jun-10,GOV,DISC,,0,,2010
6-Sep-10,MED,INSD,,4,,2010
21-Oct-10,GOV,PHYS,8,8,8,2010
6-Mar-06,BSF,STAT,8,8,8,2006
3-Aug-06,BSF,PORT,9,9,9,2006
5-Jan-09,GOV,INSD,10,10,10,2009
18-Mar-11,GOV,PHYS,10,10,10,2011
14-Jul-11,BSO,CARD,10,10,10,2011
29-Mar-12,BSF,INSD,10,10,10,2012
8-Feb-07,MED,PORT,,10,,2007
25-May-12,BSO,HACK,,10,,2012
11-Jun-10,BSR,INSD,11,11,11,2010
9-Sep-06,BSF,PORT,11,11,11,2006
18-Sep-06,BSF,HACK,11,11,11,2006
2-Oct-06,BSF,PORT,11,11,11,2006
9-Aug-07,BSF,HACK,11,11,11,2007
28-Dec-11,BSO,HACK,11,11,11,2011
23-May-14,BSF,HACK,11,11,11,2014
7-May-11,MED,INSD,,11,,2011
6-Apr-10,MED,PORT,12,12,12,2010
12-Jun-10,BSF,INSD,12,12,12,2010
8-Aug-06,GOV,PHYS,12,12,12,2006
14-Sep-07,EDU,STAT,12,12,12,2007
21-Apr-11,BSR,HACK,12,12,12,2011
23-Aug-11,MED,PHYS,12,12,12,2011
3-Sep-11,MED,INSD,12,12,12,2011
18-May-12,MED,INSD,12,12,12,2012
22-Feb-12,BSF,HACK,12,12,12,2012
2-Oct-12,GOV,DISC,12,12,12,2012
3-Jun-12,EDU,HACK,,12,,2012
6-Apr-06,BSF,INSD,13,13,13,2006
19-Feb-07,GOV,PHYS,13,13,13,2007
2-Nov-07,EDU,DISC,13,13,13,2007
25-May-06,BSF,HACK,13,13,13,2006
16-Nov-10,BSF,HACK,13,13,13,2010
7-Sep-06,BSR,HACK,13,13,13,2006
5-Jan-08,EDU,DISC,13,13,13,2008
28-Jan-11,MED,INSD,,13,,2011
4-Mar-12,EDU,HACK,,13,,2012
30-Mar-10,MED,PHYS,14,14,14,2010
9-Aug-10,BSF,UNKN,14,14,14,2010
13-Dec-06,MED,PORT,14,14,14,2006
20-Sep-11,MED,DISC,14,14,14,2011
5-Aug-10,MED,INSD,15,15,15,2010
15-Apr-11,BSR,DISC,15,15,15,2011
10-Jun-11,EDU,PORT,15,15,15,2011
24-Aug-12,MED,INSD,15,15,15,2012
28-Aug-12,MED,INSD,15,15,15,2012
3-Apr-14,NGO,INSD,15,15,15,2014
16-Jul-14,NGO,DISC,15,15,15,2014
15-May-12,GOV,HACK,,15,,2012
1-Aug-12,EDU,HACK,,15,,2012
1-Aug-12,EDU,HACK,,15,,2012
6-Jun-06,EDU,INSD,16,16,16,2006
30-Mar-07,BSR,DISC,16,16,16,2007
25-Sep-11,BSR,INSD,16,16,16,2011
18-Nov-11,BSR,INSD,16,16,16,2011
2-Jul-12,GOV,PHYS,16,16,16,2012
3-Jul-12,EDU,CARD,16,16,16,2012
8-May-14,MED,PHYS,,16,,2014
7-Mar-07,GOV,PHYS,,16,,2007
5-May-12,BSO,HACK,,16,,2012
13-Oct-10,BSF,INSD,17,17,17,2010
20-Feb-06,BSF,DISC,17,17,17,2006
18-Nov-06,BSF,DISC,17,17,17,2006
3-Feb-11,EDU,PHYS,,17,,2011
16-Apr-10,BSF,UNKN,18,18,18,2010
16-Apr-10,BSR,INSD,18,18,18,2010
18-Jun-06,EDU,PORT,18,18,18,2006
19-Jan-07,BSF,INSD,18,18,18,2007
4-May-12,BSR,HACK,,18,,2012
31-Jan-09,EDU,DISC,19,19,19,2009
18-Sep-10,MED,INSD,19,19,19,2010
11-Jan-08,BSF,INSD,19,19,19,2008
10-Oct-07,BSF,HACK,20,20,20,2007
17-May-08,EDU,PHYS,20,20,20,2008
4-Feb-09,GOV,DISC,20,20,20,2009
1-Jun-09,EDU,HACK,20,20,20,2009
8-Apr-10,BSF,INSD,20,20,20,2010
22-Jan-10,BSR,CARD,20,20,20,2010
14-Jan-10,GOV,PHYS,20,20,20,2010
9-Aug-10,BSF,PORT,20,20,20,2010
11-Aug-11,BSO,HACK,20,20,20,2011
8-Apr-10,MED,INSD,20,20,20,2011
14-Sep-12,EDU,PHYS,20,20,20,2012
16-Jul-13,BSR,DISC,20,20,20,2013
30-Jan-11,GOV,DISC,,20,,2011
30-Dec-11,BSO,DISC,,20,,2012
19-Mar-09,EDU,PHYS,21,21,21,2009
18-Mar-12,GOV,HACK,,21,,2012
